countid,screenlineid,Screenline,AADT
778886,90,,250
778887,90,,10476
778888,82,NS-02,3524
778889,82,NS-02,26000
778890,90,,10524
778891,82,NS-02,2676
778892,82,NS-02,4324
778893,82,NS-02,20900
778894,82,NS-02,750
778895,82,NS-02,15700
778896,90,,7076
778897,82,NS-02,3050
778898,82,NS-02,700
778899,90,,8576
778900,90,,8124
778901,90,,10924
778902,90,,6376
778903,90,,11050
778904,90,,13376
778905,90,,7124
778906,90,,12950
778907,90,,324
778908,77,EW-05,11024
778909,90,,13150
778910,90,,3850
778911,90,,600
778912,90,,224
778913,90,,10400
778914,90,,1276
778915,90,,10676
778916,90,,3050
778917,90,,550
778918,82,NS-02,10800
778919,90,,550
778920,90,,10800
778921,90,,9250
778922,90,,10476
778923,90,,8276
778924,90,,800
778925,90,,8976
778926,90,,13450
778927,90,,5600
778928,90,,12976
778929,90,,1250
778930,90,,350
778931,90,,476
778932,90,,4124
778933,90,,1004
778934,90,,10000
778935,90,,3050
778936,90,,4776
778937,90,,12276
778938,90,,100
778939,90,,3676
778940,90,,7550
778941,82,NS-02,18300
778942,78,EW-06,8976
778943,90,,2224
778944,90,,14184
778945,90,,2324
778946,90,,1250
778947,90,,7924
778948,90,,5050
778949,90,,1150
778950,90,,2576
778951,77,EW-05,3376
778952,76,EW-04,1950
778953,90,,1950
778954,90,,1650
778955,90,,2900
778956,90,,524
778957,90,,1450
778958,90,,1524
778959,90,,10550
778960,90,,13000
778961,90,,176
778962,90,,324
778963,90,,1900
778964,90,,5076
778965,90,,2050
778966,90,,776
778967,90,,23000
778968,90,,2300
778969,90,,8150
778970,90,,5300
778971,82,NS-02,23306
778972,90,,200
778973,90,,4700
778974,90,,8924
778975,90,,9400
778976,90,,5900
778977,90,,1400
778978,90,,12150
778979,90,,5300
778980,90,,14000
778981,90,,1876
778982,90,,476
778983,90,,424
778984,90,,2024
778985,90,,2300
778986,90,,1800
778987,90,,2350
778988,90,,3000
778989,90,,550
778990,90,,124
778991,90,,776
778992,90,,950
778993,90,,624
778994,90,,3324
778995,90,,1250
778996,90,,4000
778997,90,,9200
778998,90,,400
778999,90,,500
779000,79,EW-07,10000
779001,90,,5776
779002,90,,14576
779003,90,,750
779004,90,,4076
779005,90,,4000
779006,90,,1824
779007,90,,424
779008,90,,700
779009,90,,550
779010,90,,1200
779011,90,,11424
779012,90,,8824
779013,90,,4300
779014,90,,23076
779015,90,,3876
779016,90,,6350
779017,90,,30600
779018,90,,11476
779019,90,,1424
779020,90,,23050
779021,90,,16076
779022,90,,1000
779023,90,,2950
779024,90,,13960
779025,90,,1400
779026,90,,1876
779027,90,,1324
779028,90,,1850
779029,90,,1524
779030,90,,9750
779031,90,,9250
779032,90,,7676
779033,90,,1776
779034,90,,4150
779035,90,,19224
779036,90,,19524
779037,90,,5650
779038,90,,6824
779039,76,EW-04,17176
779040,90,,15776
779041,90,,1424
779042,90,,1100
779043,90,,16524
779044,90,,14000
779045,90,,3150
779046,90,,13600
779047,90,,7850
779048,90,,524
779049,90,,5476
779050,90,,24000
779051,90,,22000
779052,90,,1550
779053,90,,1850
779054,90,,350
779055,90,,1276
779056,90,,2500
779057,90,,7750
779058,90,,1550
779059,90,,7600
779060,90,,4750
779061,90,,24
779062,90,,2550
779063,90,,150
779064,90,,1976
779065,90,,1076
779066,90,,850
779067,90,,1324
779068,90,,200
779069,90,,1576
779070,90,,850
779071,73,EW-01,2876
779072,90,,2724
779073,90,,5800
779074,90,,2376
779075,90,,9176
779076,90,,10550
779077,90,,3050
779078,90,,5600
779079,90,,27000
779080,90,,976
779081,90,,2900
779082,90,,2850
779083,90,,4878
779084,90,,2300
779085,90,,2024
779086,90,,1124
779087,90,,1724
779088,90,,800
779089,90,,4800
779090,90,,6924
779091,90,,9076
779092,90,,25000
779093,90,,11600
779094,90,,4800
779095,90,,550
779096,90,,4824
779097,75,EW-03,11666
779098,90,,1724
779099,90,,17200
779100,90,,9376
779101,90,,124
779102,90,,3276
779103,90,,13100
779104,90,,450
779105,90,,324
779106,78,EW-06,1500
779107,90,,350
779108,90,,8650
779109,90,,17224
779110,90,,9200
779111,90,,12224
779112,90,,10576
779113,90,,9150
779114,90,,3476
779115,90,,3700
779116,90,,11400
779117,77,EW-05,8650
779118,90,,7624
779119,90,,5250
779120,76,EW-04,6424
779121,90,,1250
779122,90,,6000
779123,90,,6150
779124,90,,3500
779125,90,,9800
779126,90,,2624
779127,90,,5200
779128,90,,7900
779129,90,,9350
779130,90,,550
779131,90,,176
779132,90,,6424
779133,90,,5500
779134,90,,24000
779135,90,,2476
779136,90,,21000
779137,90,,1424
779138,90,,2500
779139,90,,14776
779140,90,,1124
779141,90,,3776
779142,90,,550
779143,90,,18150
779144,90,,2050
779145,77,EW-05,9124
779146,90,,22600
779147,90,,8276
779148,76,EW-04,6926
779149,90,,4050
779150,90,,8600
779151,90,,4176
779152,78,EW-06,12100
779153,90,,2050
779154,90,,6024
779155,90,,18324
779156,90,,2800
779157,90,,1700
779158,90,,20224
779159,90,,424
779160,90,,6100
779161,90,,16450
779162,90,,1800
779163,90,,410
779164,90,,1100
779165,90,,4450
779166,79,EW-07,1576
779167,90,,450
779168,90,,1200
779169,90,,1224
779170,90,,2150
779171,90,,850
779172,90,,3750
779173,90,,9400
779174,90,,18546
779175,90,,9676
779176,90,,1850
779177,90,,10600
779178,90,,5824
779179,90,,1850
779180,90,,10100
779181,90,,1376
779182,90,,624
779183,90,,1976
779184,90,,876
779185,90,,7200
779186,90,,8200
779187,90,,8800
779188,90,,11924
779189,90,,7624
779190,90,,10424
779191,90,,16600
779192,90,,4176
779193,90,,16000
779194,90,,2150
779195,90,,1450
779196,90,,27000
779197,90,,500
779198,90,,16576
779199,90,,2500
779200,90,,6150
779201,90,,16200
779202,90,,13924
779203,90,,11524
779204,90,,8600
779205,90,,5900
779206,90,,4524
779207,90,,7600
779208,78,EW-06,13050
779209,90,,4124
779210,90,,11324
779211,90,,13350
779212,90,,14100
779213,90,,6200
779214,90,,18300
779215,90,,8700
779216,90,,23876
779217,90,,27676
779218,90,,10250
779219,90,,27300
779220,90,,30000
779221,90,,29976
779222,90,,2900
779223,77,EW-05,34760
779224,90,,2076
779225,90,,8300
779226,79,EW-07,11000
779227,83,NS-03,3750
779228,90,,424
779229,90,,1900
779230,90,,1276
779231,83,NS-03,150
779232,90,,14000
779233,83,NS-03,1424
779234,83,NS-03,824
779235,90,,16000
779236,90,,2576
779237,90,,3400
779238,90,,1950
779239,90,,1576
779240,90,,17000
779241,90,,27000
779242,90,,12576
779243,90,,27000
779244,83,NS-03,13324
779245,83,NS-03,3876
779246,90,,9176
779247,90,,33000
779248,90,,31000
779249,90,,16000
779250,90,,36000
779251,90,,41000
779252,90,,43000
779253,83,NS-03,5376
779254,78,EW-06,38000
779255,90,,950
779256,83,NS-03,16976
779257,90,,43000
779258,83,NS-03,9124
779259,90,,576
779260,90,,40000
779261,90,,1500
779262,83,NS-03,4876
779263,73,EW-01,1976
779264,83,NS-03,6324
779265,90,,43000
779266,90,,41000
779267,83,NS-03,8224
779268,90,,43000
779269,90,,40000
779270,77,EW-05,45000
779271,90,,26000
779272,90,,37000
779273,90,,19000
779274,90,,21000
779275,90,,25000
779276,90,,1224
779277,90,,950
779278,90,,10276
779279,90,,250
779280,90,,476
779281,90,,1376
779282,83,NS-03,6924
779283,77,EW-05,2000
779284,75,EW-03,8766
779285,90,,1800
779286,90,,5050
779287,90,,7176
779288,90,,8376
779289,90,,9324
779290,90,,10600
779291,90,,8650
779292,90,,8024
779293,90,,4676
779294,90,,6450
779295,90,,7724
779296,90,,7424
779297,90,,124
779298,90,,1100
779299,90,,940
779300,90,,6700
779301,90,,350
779302,90,,700
779303,90,,8476
779304,90,,4600
779305,90,,3450
779306,90,,16500
779307,77,EW-05,4340
779308,90,,16050
779309,90,,20950
779310,90,,20800
779311,90,,15700
779312,90,,20800
779313,90,,20800
779314,90,,12924
779315,90,,800
,,,
